MainAccueilTab;Models
MainGroupFichier;Files base management
MainButtonOuvertureFichier;Open
MainButtonSauvegardeFichier;Save
MainGroupBouees;Models management
MainButtonNouveauBouee;New
MainButtonModifierBouee;Modify
MainButtonCopierBouee;Copy
MainButtonSupprimerBouee;Delete
MainGroupTri;Sort by
MainComboBoxListeTri;{Name,Volume}|1
MainButtonTriListeBoueeCroissant;Ascending order
MainButtonTriListeBoueeDecroissant;Descending order
MainCalculTab;Calculation Parameters
MainButtonCalcul;Calculation
MainButtonNoLoad;No load
MainButtonCurrent;Current
MainButtonVent;Wind
MainButtonHoule;Wave
MainButtonFullLoad;Full load
MainButtonCalculHydro;Hydro Calculation
MainLangueTab;Languages
MainGroupLangue;Language Selection
MainButtonLangueFr;Français
MainButtonLangueEn;English
MainButtonLangueEs;Espanol
MainTextBlockSelectionChaine;Chain Selection
MainTextBlockParamCalculDN;ND
MainTextBlockParamCalculType;Type
MainTextBlockParamCalculQualite;Quality
MainTextBlockParamCalculLest;Ballast
MainTextBlockParamCalculMasseEquipement;Equipment mass
MainRadioButtonMasseEquipement;kg
MainButtonListEquipement;...
MainTextBlockParamCalculProfondeur;Nominal Depth
MainRadioButtonProfondeur;m
MainTextBlockParamCalculMarnage;Tidal Range
MainRadioButtonMarnage;m
MainTextBlockParamCalculHouleMax;Max. Wave Height
MainRadioButtonHouleMax;m
MainTextBlockParamCalculHouleSignificative;Significant Wave
MainRadioButtonHouleSignificative;m
MainTextBlockParamCalculPeriodeHoule;Wave Period
MainRadioButtonPeriodeHoule;sec
MainTextBlockParamCalculVitesseCourant;Current Speed
MainRadioButtonVitesseCourantMS;m/s
MainRadioButtonVitesseCourantKts;kn
MainTextBlockParamCalculVitesseVent;Wind Speed
MainRadioButtonVitesseVentMS;m/s
MainRadioButtonVitesseVentKmh;km/h
MainTextBlockParamCalculSelectionDensiteCM;Sinker Spgr selection
MainComboBoxDensiteCM;{2.4 (Std.Reinforced Concrete),2.8 (Heavily Reinforced Concrete),3.0 (Hématite Reinforced Concrete),7.3 (Cast Iron),7.85 (Steel)}|1
MainTextBlockAideLigne1;Select a Model in the list on the left of screen to Edit the model or to switch in Calculation Mode
MainTextBlockAideLigne2;Click on the Open Icon to add a Model in your Work List
MainTextBlockAideLigne3;Click on the Modify Icon to Modify the selected Model
MainTextBlockAideLigne4;Click on the Calculation Parameters Icon to Calculate a Mooring line on the selected Model
MainTextBlockAideLigne5;Manual and Technical reference in 
ManagerBuoyGeneralTab;General
ManagerBuoyRibbonGroupSaveBuoy;Saving Management
ManagerBuoyButtonSauvegardeBouee;Save
ManagerBuoyRibbonGroupMoveFloatOnStructure;Shifting the Float along the Structure
ManagerBuoyButtonDeplacerFlotteurAuDessus;Shift Upward
ManagerBuoyButtonDeplacerFlotteurAuDessous;Shift Downward
ManagerBuoyTextBlockPasDeplacement;Shift Step(m)
ManagerBuoyFlotteurTab;Float
ManagerBuoyRibbonGroupFlotteurFonctionElement;Action on selected slice
ManagerBuoyButtonNouveauFlotteur;New Slice
ManagerBuoyButtonAjouterFlotteur;Add
ManagerBuoyButtonModificationFlotteur;Modification
ManagerBuoyButtonSupprimerFlotteur;Delete
ManagerBuoyButtonFlotteurDeplacerElementAuDessus;Shift Upward
ManagerBuoyButtonFlotteurDeplacerElementAuDessous;Shift Downward
ManagerBuoyStructureTab;Structure
ManagerBuoyRibbonGroupStructureFonctionElement;Action on selected slice
ManagerBuoyButtonNouveauStructure;New Slice
ManagerBuoyButtonAjouterStructure;Add
ManagerBuoyButtonModificationStructure;Modification
ManagerBuoyButtonSupprimerStructure;Delete
ManagerBuoyButtonStructureDeplacerElementAuDessus;Shift Upward
ManagerBuoyButtonStructureDeplacerElementAuDessous;Shift Downward
ManagerBuoyPyloneTab;Pylon
ManagerBuoyRibbonGroupPyloneFonctionElement;Action on selected element
ManagerBuoyButtonNouveauPylone;New
ManagerBuoyButtonAjouterPylone;Add
ManagerBuoyButtonModificationPylone;Modification
ManagerBuoyButtonSupprimerPylone;Delete
ManagerBuoyButtonPyloneDeplacerElementAuDessus;Shift Upward
ManagerBuoyButtonPyloneDeplacerElementAuDessous;Shift Downward
ManagerBuoyVoyantTab;Topmark
ManagerBuoyRibbonGroupVoyantFonctionElement;Action on selected element
ManagerBuoyButtonNouveauVoyant;New
ManagerBuoyButtonAjouterVoyant;Add
ManagerBuoyButtonModificationVoyant;Modification
ManagerBuoyButtonSupprimerVoyant;Delete
ManagerBuoyButtonVoyantDeplacerElementAuDessus;Shift Upward
ManagerBuoyButtonVoyantDeplacerElementAuDessous;Shift Downward
ManagerBuoyTextBlockVisualisationGraphique;Graphic display
ManagerBuoyTextBlockParamGenBouee;General Parameters
ManagerBuoyTextBlockNomBouee;Name
ManagerBuoyTextBlockChaineComp;Compatible chain
ManagerBuoyTextBlockChaineMin;Min
ManagerBuoyTextBlockChaineMax;Max
ManagerBuoyTextBlockBoueeLest;Ballasts definition
ManagerBuoyTextBlockBoueeMasse;Mass
ManagerBuoyTextBlockNombre;Amount
ManagerBuoyTextBlockNombreMin;Min
ManagerBuoyTextBlockNombreMax;Max
ManagerBuoyTextBlockFloatToStructBuoy;Height of bottom of Float above lowest point of Structure(m)
ManagerBuoyTextBlockInfoBouee;Informations
ManagerBuoyTextBlockMasseBuoy;Buoy Mass(kg)
ManagerBuoyTextBlockVolumeBuoy;Total Volume of(m³)
ManagerBuoyTextBlockParamGenFlotteur;General Parameters
ManagerBuoyTextBlockNomFlotteur;Name of Float
ManagerBuoyButtonCopieFlotteur;...
ManagerBuoyTextBlockMasseFloat;Mass (kg)
ManagerBuoyTextBlockInfoFlotteur;Informations
ManagerBuoyTextBlockVolumeFloat;Total Volume (m³)
ManagerBuoyTextBlockParametreElementSelectFloat;Parameters of selected slice
ManagerBuoyTextBlockFlotteurHauteur;Height (m)
ManagerBuoyTextBlockFlotteurDiametreH;Top Diameter (m)
ManagerBuoyTextBlockFlotteurDiametreI;Inside Diameter (m)
ManagerBuoyTextBlockFlotteurDiametreB;Bottom Diameter (m)
ManagerBuoyTextBlockFlotteurVolume;Real Volume (m³)
ManagerBuoyTextBlockFlotteurVolumeCalcul;Calculated Volume (m³)
ManagerBuoyTextBlockParamGenStructure;General Parameters
ManagerBuoyTextBlockNomStructure;Name of Structure
ManagerBuoyButtonCopieStructure;...
ManagerBuoyTextBlockMasseStruct;Mass (kg)
ManagerBuoyTextBlockProfOrganeauStruct;Depth of Anchor Ring under Bottom of Float(m)
ManagerBuoyTextBlockInfoStructure;Informations
ManagerBuoyTextBlockVolumeStruct;Total Volume (m³)
ManagerBuoyTextBlockParametreElementSelectStruct;Parameters of selected slice
ManagerBuoyTextBlockStructureHauteur;Height (m)
ManagerBuoyTextBlockStructureDiametreH;Top Diameter (m)
ManagerBuoyTextBlockStructureDiametreI;Inside Diameter (m)
ManagerBuoyTextBlockStructureDiametreB;Bottom Diameter (m)
ManagerBuoyTextBlockStructureVolume;Real Volume (m³)
ManagerBuoyTextBlockStructureVolumeCalcul;Calculated Volume (m³)
ManagerBuoyTextBlockParamGenPylone;Parameters of Pilon Element
ManagerBuoyTextBlockNomPylone;Parameters of Pilon Element
ManagerBuoyButtonCopiePylone;...
ManagerBuoyTextBlockMassePyl;Mass (kg)
ManagerBuoyTextBlockParametreElementSelectPyl;Parameters of selected element
ManagerBuoyTextBlockPyloneHauteur;Height (m)
ManagerBuoyTextBlockPyloneLongueurH;Top width (m)
ManagerBuoyTextBlockPyloneLongueurB;Bottom width (m)
ManagerBuoyTextBlockParamGenVoyant;Parameters of Top Mark element
ManagerBuoyTextBlockNomVoyant;Name of Top Mark element
ManagerBuoyButtonCopieVoyant;...
ManagerBuoyTextBlockMasseVoy;Mass (kg)
ManagerBuoyTextBlockParametreElementSelectVoy;Parameters of selected element
ManagerBuoyTextBlockVoyantHauteur;Height (m)
ManagerBuoyTextBlockVoyantLongueurH;Top width (m)
ManagerBuoyTextBlockVoyantLongueurB;Bottom width (m)
EquipTextBlockTreeViewEquipement;List of standard equipments
EquipTextBlockListBoxEquipement;List of selected equipments
EquipButtonAjouterEquipement;Add
EquipButtonModifierEquipement;Modify
EquipButtonSupprimerEquipement;Delete
EquipButtonValidationEquipement;Ok
ResultRibbonTabComparateur;Comparator
ResultRibbonGroupBuoy;Buoy
ResultTextBlockBouee1;Buoy 1
ResultTextBlockBouee2;Buoy 2
ResultRibbonGroupChaine;Chains
ResultTextBlockDN1;ND
ResultTextBlockDN2;ND
ResultTextBlockType1;Type
ResultTextBlockType2;Type
ResultTextBlockQualite1;Quality
ResultTextBlockQualite2;Quality
ResultRibbonGroupLest;Ballast
ResultRibbonGroupDensiteCM;Sinker Spgr
ResultComboBoxDensiteCM1;{2.4 (Std.Reinforced Concrete),2.8 (Heavily Reinforced Concrete),3.0 (Hématite Reinforced Concrete),7.3 (Cast Iron),7.85 (Steel)}|1
ResultComboBoxDensiteCM2;{2.4 (Std.Reinforced Concrete),2.8 (Heavily Reinforced Concrete),3.0 (Hématite Reinforced Concrete),7.3 (Cast Iron),7.85 (Steel)}|1
ResultRibbonGroupPlus;Plus
ResultRibbonTabPrintExport;Print and Export
ResultRibbonGroupTitleProject;Document Title
ResultRibbonGroupPrint;Print
ResultButtonImpression;Print
ResultRibbonGroupExport;Export
ResultButtonExportCSV;Txt
ResultRibbonTabView;Graphic display
ResultRibbonGroupView;Graphic display
ResultButtonVisualisation;Apeak Graphic display
ResultTextBlockDN;ND
ResultTextBlockType;Type
ResultTextBlockLest;Ballast
ResultTextBlockDensite;Spgr
ResultTextBlockProfondeur;Nominal Depth
ResultTextBlockMasseEquipement;Equipment mass
ResultTextBlockHtMaxVagues;Max. Height Waves
ResultTextBlockHtSignifVague;Signif. Height Waves
ResultTextBlockPeriodeVague;Waves Period
ResultTextBlockMarnage;Tidal Range
ResultTextBlockVitVentMS;Max. Speed Wind
ResultTextBlockVitVentKMH;Max. Speed Wind
ResultTextBlockVitCourantMS;Max. Speed Current
ResultTextBlockVitCourantNds;Max. Speed Current
ResultTextBlockParametreChaineCM;Parameters of selected Chain and Sinker
ResultTextBlockConditionSiteSaisi;Input Site Conditions
ResultTextBlockProfondeurResultat;Depth
ResultTextBlockProfMin;Minimum
ResultTextBlockLongueurCat;Catenary Length
ResultTextBlockTensionMax;Maximum Tension
ResultTextBlockMouillage;Mooring
ResultTextBlockMasseMinCM;Sinker Minimum Mass
ResultTextBlockReserveFlota;Buoy Reserve Buoyancy
ResultTextBlockFrancBord;Buoy Freeboard
ResultTextBlockSurfLatImme;Immersed Lateral Plane
ResultTextBlockProfMax;Maximum
ResultTextBlockRayonEvitage;Maximum Swinging Radius
ResultTextBlockCoefSecuChaine;Chain Safety Factor
ResultTextBlockIALACoefSecu;(IALA: ≥5\\Ce)
ResultTextBlockTraineH;Horizontal Drag
ResultTextBlockDeplTotBuoy;Buoy total Displacement
ResultTextBlockTirantEau;Buoy Draft
ResultTextBlockSurfLatEme;Emerged Lateral Plane
ResultLinearAxisCatenaire;Swinging Radius (m)
ResultLinearAxisProfondeur;Depth (m)
ResultTextBlockTitleResultat;Results
ResultTextBlockTitleGraphique;Graphic display of Catenary
ViewTextBlockTitle;Graphic display of Freeboard
ViewRadioButtonPIC;Apeak
ViewRadioButtonFullLoad;Full Load
ViewTextBlockBuoy1;Buoy 1
ViewTextBlockBuoy2;Buoy 2
GeneralTitreProjet;Name of Project
GeneralErreurRepertoire;Error Work Directory inaccessible
GeneralErreurAjoutBouee;Error impossible to Add the Buoy
GeneralErreurModifBouee;Error impossible to Modify the Buoy
GeneralErreurSupprBouee;Error impossible to Delete the Buoy
GeneralAjoutEquipementCategorie;Category of equipement
GeneralAjoutEquipementNom;Name of equipement
GeneralAjoutEquipementMasse;Unit Mass of equipement(kg)
GeneralTextBlockProject;Project
GeneralTextBlockParametre;Parameters
GeneralTextBlockProfondeurMax;Maximum Depth
GeneralTextBlockProfondeurMin;minimum Depth
GeneralTextBlockTensionMaxMouillage;Maximum Mooring Tension
GeneralTextBlockCoefSecuChaineIALA;Chain Safety Factor(IALA: ≥5\\Test Load)
GeneralTextBlockDiamChaine;Chain Diameter
GeneralTextBlockTypeChaine;Type of Chain
GeneralTextBlockCSVPointVirg;Txt File dot-coma
GeneralTextBlockCSVVirg;Txt File coma
GeneralTextBlockCSVTab;Txt File Tabulation
InfoBulleAddBuoy;Do you want to replace the existing buoy ?
InfoBulleModifyBuoy;Exit without save the buoy ?
InfoBulleCopyBuoyText;Name of the buoy
InfoBulleDeleteBuoy;Do you want to delete the buoy 
InfoBulleErreurDeferlement;Warning: Breaking Sea
InfoBulleErreurHauteurOrg;Warning: The structure is higher than depth
